RuleID,RuleName,LostType,SeverityLevel,ApplicableFormationType,FormationProperties,GeologicalFeatures,MechanismShort,MechanismDetail,ConditionsText,ConditionsStructured,TimePattern,IdentificationFeatures,TypicalCurve,KeyParameters,MeasurementMethods,RiskLevel,TypicalLossRate,LossBehavior,Source
MR_001,轻度渗透性漏失,渗透性漏失,轻度,"[""松散砂岩"", ""高孔隙砂岩"", ""冲积砂砾层""]","{""permeability"":""高"",""porosity"":""中高""}","[""多孔介质"", ""无明显裂缝""]",轻度渗透性漏失机理,"概述：钻井液在高渗透多孔介质中缓慢渗入地层产生的小幅漏失。
在松散或高渗透砂岩中，井壁暴露的孔隙网络与钻井液直接连通，井底压力略高于地层孔隙压力时，钻井液滤液缓慢进入地层孔隙，引起轻度渗透性漏失。漏速较小，随钻进暴露面积增加略有升高，随后在孔隙逐渐被流体占据后趋于平稳。",地层渗透率较高，孔隙尺寸远大于泥饼孔径，井底压力略高于地层孔隙压力。,"[{""param"": ""permeability"", ""op"": "">"", ""value"": ""高""}, {""param"": ""Pw"", ""op"": "">"", ""value"": ""Pp""}]",缓慢上升后趋于稳定,"[""漏速较小且变化平"", ""无明显压力突变"", ""泥浆池液面略有下""]",缓坡型漏速–时间曲线,"[""permeability"", ""porosity"", ""mud_density"", ""ECD"", ""exposed_leng""]","[""流量计量"", ""出入口流量差分析"", ""泥浆池液位监测""]",低,< 10 bbl/h,一般不会引起井控风险，可通过轻度调密或常规堵漏加以控制。,《井漏机理和对策》
MR_002,中度渗透性漏失,渗透性漏失,中度,"[""中高渗透砂岩"", ""薄互层储层""]","{""permeability"":""中高"",""porosity"":""中等""}","[""多孔介质"", ""局部高渗带""]",中度渗透性漏失机理,"概述：钻井液在中高渗透储层中持续渗入，造成明显但可控的漏失。
当储层渗透率中高且井底压力明显高于地层压力时，钻井液持续进入孔隙网络，漏速一般在10–100 bbl/h范围。漏失多在钻遇储层后逐渐加重并在一段时间后趋于稳定，若不控制可能影响井筒压力平衡和作业经济性。",渗透率中高，钻井液密度略高于平衡密度，压差驱动力较强。,"[{""param"": ""permeability"", ""op"": "">"", ""value"": ""中等""}, {""param"": ""Pw_minus_Pp"", ""op"": "">"", ""value"": ""适中""}]",随钻进逐渐上升后在高位波动,"[""漏速明显高于正常"", ""泵压与返速基本平"", ""泥浆池液面持续下""]",缓升–平台型,"[""permeability"", ""mud_density"", ""ECD"", ""pore_pressur"", ""exposed_leng""]","[""流量计量"", ""循环量平衡计算"", ""泥浆池液位记录""]",中,10–100 bbl/h,需要适度堵漏及密度优化，若不处理可能发展为重度漏失。,《井漏机理和对策》
MR_003,重度渗透性漏失,渗透性漏失,重度,"[""高渗透砂岩"", ""强冲刷带"", ""砂砾岩储层""]","{""permeability"":""极高"",""porosity"":""高""}","[""高度连通孔隙网络""]",重度渗透性漏失机理,"概述：在极高渗透储层中，大量钻井液快速渗入地层形成重度漏失。
当地层渗透率极高且井底压力显著高于地层压力时，钻井液在短时间内大量进入地层孔隙，漏速可超过100 bbl/h。这一过程对泥浆循环和井控安全影响显著，若不及时处理可能导致严重井漏甚至诱发井涌。",渗透率极高，孔隙连通性好，压差驱动力大。,"[{""param"": ""permeability"", ""op"": "">"", ""value"": ""很高""}, {""param"": ""Pw_minus_Pp"", ""op"": "">"", ""value"": ""大""}]",快速上升并维持高位,"[""漏速迅速增大"", ""泥浆池液面快速下"", ""但套压变化不明显""]",陡升–高平台型,"[""permeability"", ""Pw"", ""Pp"", ""mud_density"", ""flow_rate""]","[""实时流量监测"", ""泥浆池自动液位记"", ""循环量平衡""]",高,> 100 bbl/h,若未及时堵漏与调密，可能发展为更严重的失返或井控事故。,《井漏机理和对策》
MR_004,多孔/溶洞型漏失初始阶段,多孔-溶洞漏失,中度,"[""碳酸盐岩"", ""喀斯特储层"", ""溶蚀发育砂岩""]","{""vuggy"":""发育"",""permeability"":""中高""}","[""溶洞"", ""孔洞"", ""溶蚀空腔""]",多孔/溶洞型漏失初始,"概述：钻井液首先进入局部孔洞或溶蚀空腔，引起漏失突增。
在碳酸盐岩等溶蚀发育地层中，井壁后方常存在尺寸不一的孔洞或溶蚀空腔。当钻头钻穿或井壁失稳暴露孔洞时，钻井液迅速充填空腔体积，漏速在短时间内陡然增大。随着孔洞逐渐充满，漏速可能略有下降或趋于新的稳定水平。",钻遇与井筒连通的局部溶洞或大孔洞，孔洞体积有限。,"[{""param"": ""vugs"", ""op"": ""="", ""value"": ""存在""}, {""param"": ""connection_t"", ""op"": ""="", ""value"": ""是""}]",瞬时陡升后略有回落,"[""漏速在极短时间内"", ""泥浆池液面突降"", ""伴随井径异常增大""]",阶跃型高漏速曲线,"[""cavity_volum"", ""Pw"", ""mud_density"", ""pump_rate""]","[""流量监测"", ""泥浆池液位监测"", ""井径测井或成像""]",高,几十到数百 bbl/h，取决于孔洞体积,若孔洞规模有限，填满后漏速下降；若与大规模孔洞系统连通，可演变为失返。,《井漏机理和对策》
MR_005,连通溶洞系统导致的失返性漏失,完全失返,极重度,"[""大规模喀斯特碳酸"", ""断溶复合体"", ""溶洞群发育区""]","{""vuggy"":""极发育"",""connectivity"":""极好""}","[""溶洞网络"", ""地下河通道"", ""大型空腔系统""]",连通溶洞系统导致的失,"概述：钻井液通过井筒连通大规模溶洞或空腔系统，导致循环完全丧失。
当井筒与大规模溶洞网络或喀斯特空腔连通时，钻井液被持续吸入空腔系统且难以建立环空返流，表现为完全失返。泥浆池液面迅速下降，泵入量几乎全部进入地层，井口无明显回液，是极其危险的漏失形态。",溶洞规模巨大且与井筒长期连通，地层压力远低于井底压力。,"[{""param"": ""vug_network"", ""op"": ""="", ""value"": ""大型连通""}, {""param"": ""returns"", ""op"": ""≈"", ""value"": ""0""}]",短时间内发展为持续极高漏速,"[""泵入量与回液完全"", ""井口无回液或极少"", ""泥浆池迅速见底""]",瞬时完全失返型,"[""vug_system_e"", ""Pw"", ""pore_pressur"", ""pump_rate""]","[""进出流量监测"", ""泥浆池体积平衡"", ""地震及测井解释""]",极高,接近泵入排量,形成持续失返，不采取封堵或改井措施难以恢复循环。,《井漏机理和对策》
MR_006,轻度天然裂缝漏失,裂缝性漏失,轻度,"[""裂缝性砂岩"", ""裂缝性碳酸盐岩""]","{""fracture_density"":""低到中"",""fracture_aperture"":""小""}","[""天然裂缝"", ""层间裂缝""]",轻度天然裂缝漏失机理,"概述：钻井液沿小开度天然裂缝缓慢渗流造成的小幅裂缝性漏失。
在裂缝性储层中，若裂缝开度较小、导流能力有限，井底压力略高于裂缝内流体压力时，钻井液沿裂缝缓慢渗流进入地层。漏失速率通常较低，多表现为轻度、稳定的裂缝性漏失，对井控影响有限，但长期可能造成泥浆用量增加。",存在连通井筒的小开度天然裂缝，井底压力略高于裂缝内流体压力且压差不大。,"[{""param"": ""fracture_ape"", ""op"": ""~"", ""value"": ""小""}, {""param"": ""Pw"", ""op"": "">"", ""value"": ""P_frac""}]",缓慢上升后趋于稳定,"[""泵压略有下降但平"", ""返速略低于正常"", ""漏速小且基本稳定""]",小幅台阶或缓升型,"[""fracture_ape"", ""fracture_den"", ""Pw"", ""P_frac"", ""mud_density""]","[""泵压曲线监测"", ""出入口流量差分析"", ""井壁成像资料辅助""]",低,< 10–20 bbl/h,一般可通过轻度堵漏或适当调压控制，不易演变为失返。,《井漏机理和对策》
MR_007,重度天然裂缝漏失,裂缝性漏失,重度,"[""裂缝高发碳酸盐岩"", ""构造裂缝带"", ""逆冲推覆体""]","{""fracture_density"":""高"",""fracture_aperture"":""中到大""}","[""大导流天然裂缝"", ""剪切裂缝网络""]",重度天然裂缝漏失机理,"概述：在导流能力强的天然裂缝网络中，大量钻井液快速流入地层形成重度漏失。
当地层存在高密度、大开度天然裂缝网络，且井底压力显著高于裂缝内流体压力时，钻井液通过裂缝通道快速泄入地层。漏失突然发生，漏速高，常伴随泵压明显下降和返速显著降低，若不及时控制，可迅速发展为严重失返。",裂缝密度高、开度中大且与井筒良好连通，井底压力显著高于裂缝内流体压力。,"[{""param"": ""fracture_ape"", ""op"": "">"", ""value"": ""中""}, {""param"": ""fracture_den"", ""op"": "">"", ""value"": ""高""}, {""param"": ""Pw_minus_P_f"", ""op"": "">"", ""value"": ""大""}]",突增并维持高位,"[""泵压快速下降"", ""井口回液明显减少"", ""泥浆池液面快速下""]",陡升–高位平台或持续,"[""fracture_ape"", ""fracture_den"", ""Pw"", ""P_frac"", ""mud_density"", ""pump_rate""]","[""流量与密度监测"", ""泵压/套压变化分"", ""必要时成像测井""]",高,> 100 bbl/h,易导致严重井漏和失返，需快速实施堵漏、调压和必要时停泵等措施。,《井漏机理和对策》
MR_008,裂缝内颗粒桥接导致有限裂缝漏失,裂缝性漏失,中度,"[""裂缝性碳酸盐岩"", ""裂缝性砂岩""]","{""fracture_aperture"":""中"",""matrix_permeability"":""中""}","[""可被颗粒桥接的裂""]",裂缝内颗粒桥接导致有,"概述：钻井液中的固体颗粒在裂缝内形成桥接，逐步降低并终止裂缝漏失。
当裂缝开度与钻井液中固相颗粒的粒径匹配时，固体颗粒可在裂缝通道内形成稳定桥接结构。随着循环时间增加，裂缝入口和内部逐渐被桥接和滤饼堵塞，漏失速率由高逐步下降并趋于终止，形成有限裂缝漏失行为，是利用加重堵漏材料封堵裂缝的基本机理。",裂缝开度与泥浆固相颗粒粒径存在匹配关系，钻井液具有一定固相含量和造壁性能。,"[{""param"": ""fracture_ape"", ""op"": ""~"", ""value"": ""k*partic""}, {""param"": ""solids_conte"", ""op"": "">"", ""value"": ""下限""}]",初期较高，随后逐渐下降直至接近零,"[""初期漏失明显，随"", ""泵压逐渐恢复"", ""加入堵漏材料后效""]",先高后低渐近型,"[""fracture_ape"", ""particle_siz"", ""solids_conte"", ""filter_cake_""]","[""流量与泵压监测"", ""返出钻井液含砂量""]",中,10–100 bbl/h 初期，随后显著下降,通过优化钻井液颗粒级配和添加堵漏材料，可以实现有限漏失并最终封堵裂缝。,《井漏机理和对策》
MR_009,裂缝几何受限导致有限深度裂缝漏失,裂缝性漏失,中度,"[""裂缝性储层"", ""局部裂缝发育地层""]","{""fracture_aperture"":""有限"",""fracture_length"":""有限""}","[""半封闭裂缝"", ""端部封闭裂缝""]",裂缝几何受限导致有限,"概述：裂缝空间有限导致钻井液仅在有限深度范围内渗入，漏失量受几何约束。
当裂缝为有限长度或端部封闭时，钻井液在压差驱动下进入裂缝通道，直至裂缝空间被部分或全部充满。此时压力梯度降低，进一步流动受限，漏失量会趋于稳定，表现为有限深度裂缝漏失，而非无限制失返。",裂缝连续性有限或端部被封闭，裂缝空间有限且不可与大型通道连通。,"[{""param"": ""fracture_len"", ""op"": ""<"", ""value"": ""上限""}, {""param"": ""fracture_con"", ""op"": ""="", ""value"": ""有限""}]",漏失随时间增加但逐渐趋于平缓,"[""漏速最初增加，随"", ""泥浆池液面下降速""]",缓升后平台型累积曲线,"[""fracture_len"", ""fracture_ape"", ""Pw"", ""P_frac""]","[""流量趋势分析"", ""必要时结合成像或""]",中,取决于裂缝几何条件，一般有限且可控,若通过堵漏和调压，常可在较短时间内实现漏失基本稳定或停止。,《井漏机理和对策》
MR_010,天然裂缝网络连通高压低压系统导致失返,完全失返,极重度,"[""区域裂缝网络发育"", ""断裂-裂缝复合带""]","{""fracture_connectivity"":""极好"",""fracture_network_extent"":""大""}","[""区域性裂缝网络"", ""连通多压力系统的""]",天然裂缝网络连通高压,"概述：天然裂缝网络将井筒与大范围低压或空腔系统连通，导致循环流体完全丧失。
当天然裂缝网络规模大且连通性极强时，井筒可能通过裂缝系统与远处低压区、空腔或其他构造通道连通。钻井液在压差驱动下不断被抽吸进入这些系统，几乎不再返回井口，表现为完全或近乎完全失返，其漏失量接近泵入排量。",裂缝网络规模大、连通性极好，且连通区域压力明显低于井底压力或为空腔系统。,"[{""param"": ""fracture_net"", ""op"": "">"", ""value"": ""大""}, {""param"": ""returns"", ""op"": ""≈"", ""value"": ""0""}]",在短时间内迅速发展为持续性极高漏失,"[""持续无回液或回液"", ""泥浆池迅速见底"", ""套压变化不一定显""]",典型失返型：泵入与回,"[""fracture_net"", ""Pw"", ""remote_syste"", ""pump_rate""]","[""进出流量监测"", ""泥浆池体积平衡"", ""构造及裂缝解释""]",极高,接近泵入排量,常需停泵、封井、实施强堵漏或改完井方案，否则难以恢复正常循环。,《井漏机理和对策》
